Statistic Measure	Naive Bayes	Random Forest	SVM	KNN	My Method
Accuracy	0.9071413530668968	0.9532005721896128	0.962169193621589	0.9563009954118256	0.9624125628458184
Precision	0.8953211789639672	0.950941854785668	0.9586910020693923	0.9528890112985835	0.9595943299477154
Recall	0.9054815838355154	0.947162438032659	0.9595425016155575	0.953229993144021	0.9595964508086878
F-Measure	0.8986129658876016	0.9503389074687293	0.9590236542139232	0.9528919634756594	0.9595550860556005
